id,developer,year,price
647050,.ez Games,2017,"0,99"
553830,.M.Y.W.,2016,"0,99"
605250,'@lukasinspace,2017,"2,99"
586880,'@unepic_fran,2017,"1,99"
614080,'@unepic_fran,2017,"1,99"
233980,'@unepic_fran,2014,"12,99"
463270,'@unepic_fran,2016,"12,99"
747990,'@VincentLTower,2017,"1,99"
590770,'@YearOfTheBob,2017,"0,00"
344500,[bracket]games,2015,"4,99"
564150,[erka:es].Darksquid Media,2017,"9,99"
564160,[erka:es].Darksquid Media,2017,"13,99"
338180,[geim].pro,2015,"0,00"
365840,[geim].pro,2015,"1,99"
372470,[geim].pro,2015,"1,99"
353570,[geim].pro,2015,"4,99"
353571,[geim].pro,2015,"4,99"
454320,[OneManBand],2016,"1,99"
223450,][ Games Inc,2013,"14,99"
459830,'+7 Software,2016,"4,99"
349510,'+Mpact Games. LLC.,2017,"9,99"
689920,△○□× (Miwashiba),2017,"1,99"
373770,△○□× (Miwashiba),2016,"2,99"
524850,△○□× (Miwashiba),2016,"2,99"
618720,△○□× (Miwashiba),2017,"2,99"
310360,07th Expansion,2015,"5,99"
526490,07th Expansion,2016,"5,99"
410890,07th Expansion,2015,"7,99"
472870,07th Expansion,2016,"7,99"
577480,07th Expansion,2017,"7,99"
406550,07th Expansion,2016,"24,99"
550340,07th Expansion,2017,"24,99"
639490,07th Expansion,2017,"29,99"
462620,08 Games,2016,"6,99"
565490,100 Plus Games llc,2017,"4,99"
534930,100 Stones Interactive,2017,"4,99"
695580,100 Stones Interactive,2017,"4,99"
454250,100 Stones Interactive,2016,"14,99"
553570,10101 Software,2016,"0,99"
709790,10ft Games,2017,"5,99"
719380,10kbit Games,2017,"0,99"
754390,10kbit Games,2017,"0,99"
659750,10kbit Games,2017,"1,99"
657020,10ravens s.r.o.,2017,"2,99"
286360,10th Art Studio.Adventure Productions,2014,"6,99"
394290,10tons Ltd,2015,"4,99"
525450,10tons Ltd,2016,"4,99"
567660,10tons Ltd,2015,"4,99"
694210,10tons Ltd,2017,"4,99"
370550,10tons Ltd,2015,"7,99"
550440,10tons Ltd,2012,"7,99"
550450,10tons Ltd,2014,"7,99"
460220,10tons Ltd,2016,"9,99"
626580,10tons Ltd,2017,"9,99"
262830,10tons Ltd,2014,"13,99"
625910,10tons Ltd,2017,"13,99"
428750,10tons Ltd,2016,"14,99"
654050,10tons Ltd,2017,"14,99"
333990,10x10 Room,2017,"11,99"
348040,11 bit studios,2015,"0,99"
251530,11 bit studios,2013,"4,99"
252170,11 bit studios,2013,"4,99"
481090,11 bit studios,2016,"4,99"
294750,11 bit studios,2014,"9,99"
91200,11 bit studios,2011,"9,99"
236730,11 bit studios,2013,"14,99"
282070,11 bit studios,2014,"19,99"
586660,12 East Games,2017,"9,99"
407830,12 Hit Combo,2016,"7,99"
355630,1337 &amp; Senri AB,2015,"6,99"
505015,13AM Games,2016,"6,99"
522170,13AM Games,2016,"6,99"
505480,13AM Games,2016,"13,99"
464650,13AM Games,2016,"14,99"
391400,14 Dimension Enterprise,2017,"9,99"
671700,14 Hours Productions,2017,"0,00"
693510,14 Hours Productions,2017,"4,99"
38420,14° East,2001,"9,99"
517300,14Dimension Enterprise,2016,"4,99"
355380,14Dimension Enterprise,2015,"7,99"
671560,16 Swans,2017,"3,99"
428950,16bit Nights,2016,"0,99"
473560,16bit Nights,2016,"0,99"
228960,17-BIT,2013,"9,99"
300580,17-BIT,2015,"19,99"
448610,17Studio,2016,"0,99"
511790,1888 Games,2016,"11,99"
46342,1C Company,2009,"1,99"
46362,1C Company,2010,"1,99"
289360,1C Company,2004,"2,99"
289380,1C Company,2010,"2,99"
289420,1C Company,2009,"3,99"
46290,1C Company,2007,"3,99"
3130,1C Company,2009,"4,99"
389250,1C Company,2008,"4,99"
46340,1C Company,2009,"4,99"
46360,1C Company,2010,"4,99"
25900,1C Company,2008,"6,99"
63960,1C Company,2011,"6,99"
63940,1C Company,2011,"7,99"
502890,1C Game Studios.777 Studios,2016,"19,99"
502891,1C Game Studios.777 Studios,2016,"19,99"
502870,1C Game Studios.777 Studios,2016,"49,99"
336760,1C Wireless,2014,"4,99"
336770,1C Wireless,2014,"4,99"
336780,1C Wireless,2015,"4,99"
15320,1C: Maddox Games,2006,"9,99"
42930,1C:InoCo,2009,"1,99"
42940,1C:InoCo,2009,"1,99"
42950,1C:InoCo,2009,"1,99"
25850,1C:InoCo,2009,"4,99"
42881,1C:InoCo,2010,"4,99"
73041,1C:InoCo,2011,"4,99"
73071,1C:InoCo,2011,"4,99"
25980,1C:InoCo,2009,"9,99"
73020,1C:InoCo,2011,"19,99"
200230,1C-Avalon,2011,"4,99"
449570,1CC Games,2016,"2,99"
425340,1CC Games,2016,"4,99"
204860,1C-SoftClub,2012,"7,99"
203350,1C-SoftClub,2012,"9,99"
289520,1C-SoftClub,2014,"12,99"
497400,2 Monkeys,2016,"0,99"
368570,2 players,2016,"1,99"
768950,2 Zombie Games,2017,"4,99"
487000,2 Zombie Games,2017,"14,99"
411330,2015,2004,"9,99"
428440,2020 Venture,2016,"9,99"
740500,20letpast,2017,"9,99"
422420,22cans,2016,"14,99"
584370,22cans,2017,"14,99"
222660,24 Caret Games,2013,"9,99"
327010,251 Games,2014,"19,99"
713030,26k,2017,"9,99"
379572,29Palms Scenery Design,2016,"12,99"
623620,29Palms.JaraNet,2017,"15,99"
394430,2Awesome Studio,2017,"12,99"
570500,2B_GAMES,2016,"1,99"
671480,2Beats,2017,"1,99"
437340,2Bit Studios,2016,"14,99"
381200,2by3 Games,2013,"14,99"
381201,2by3 Games,2012,"14,99"
644780,2by3 Games,2015,"19,99"
370540,2by3 Games,2010,"79,99"
644710,2by3 Games,2014,"79,99"
431540,2Chance Projects.IIchan Eroge Team,2015,"0,00"
632210,2Chance Projects.IIchan Eroge Team.DjSM,2017,"1,99"
22000,2D BOY,2008,"9,99"
464530,2D Heroes.Ursa Games,2017,"0,99"
425160,2D Heroes.Ursa Games,2016,"4,99"
257120,2DArray,2013,"9,99"
287860,2DEngine,2011,"2,99"
390910,2DEngine,2015,"3,99"
11360,2DEngine.com,2008,"4,99"
487420,2DHD,2016,"1,99"
739890,2Dog Games,2017,"4,99"
275690,2K Australia.Gearbox Software.Aspyr (Mac &amp; Linux),2014,"9,99"
261640,2K Australia.Gearbox Software.Aspyr (Mac and Linux),2014,"39,99"
289880,2K Australia.Gearbox Software.Aspyr (Mac. Linux),2014,"4,99"
321430,2K Australia.Gearbox Software.Aspyr (Mac. Linux),2015,"9,99"
289881,2K Australia.Gearbox Software.Aspyr (Mac.Linux),2014,"9,99"
7670,2K Boston.2K Australia,2007,"19,99"
409710,2K Boston.2K Australia.Blind Squirrel.Feral Interactive (Mac),2016,"19,99"
67330,2K Czech,2010,"2,99"
67340,2K Czech,2010,"2,99"
67350,2K Czech,2010,"2,99"
67360,2K Czech,2010,"2,99"
50145,2K Czech.Feral Interactive (Mac),2010,"9,99"
50146,2K Czech.Feral Interactive (Mac),2010,"9,99"
50147,2K Czech.Feral Interactive (Mac),2010,"9,99"
50130,2K Czech.Feral Interactive (Mac),2011,"29,99"
66001,2K Marin,2013,"0,99"
65930,2K Marin,2013,"19,99"
525720,2K Marin.2K China.Digital Extremes.2K Australia.Blind Squirrel,2016,"9,99"
409720,2K Marin.2K China.Digital Extremes.2K Australia.Blind Squirrel,2016,"19,99"
8850,2K Marin.2K China.Digital Extremes.2K Australia.Feral Interactive (Mac),2010,"19,99"
502380,2Pi Interactive Pvt. Ltd.,2016,"4,99"
257750,2Play,2013,"9,99"
610270,2Play.Fredrik Häthén Music,2017,"9,99"
579840,2Play.Prasius,2017,"14,99"
340200,2SD,2015,"4,99"
315060,2SD,2015,"9,99"
663690,2-Volt Games,2017,"0,00"
218100,2x2 Games,2012,"9,99"
218090,2x2 Games,2012,"19,99"
623090,2XL Games.Blitworks,2017,"29,99"
674440,2xMilk,2017,"3,99"
567320,2xMilk,2017,"7,99"
499900,3 Core Studio,2013,"8,99"
455830,3 Fright,2016,"9,99"
585290,3 Minute Games,2017,"3,99"
207250,3 Sprockets,2012,"3,99"
593070,3 Sprockets,2017,"4,99"
228440,3 Sprockets,2013,"7,99"
250560,3 Sprockets,2014,"9,99"
292380,30.06 Studios Ltd,2014,"4,99"
592660,300 fps,2017,"4,99"
267220,3000AD,2014,"9,99"
285670,3000AD,2014,"9,99"
345580,3000AD,2015,"9,99"
36900,3000AD,2009,"9,99"
36910,3000AD,2009,"9,99"
370810,3000AD,2015,"29,99"
444440,3100 games,2016,"3,99"
657560,313 Studios,2017,"4,99"
384960,314 Arts,2016,"8,99"
324570,343 Industries.Vanguard Games,2014,"2,99"
580620,34BigThings srl,2017,"7,99"
402390,34BigThings srl,2015,"9,99"
728910,34BigThings srl,2017,"9,99"
728302,373vFS Greg,2017,"9,99"
681140,38.9_Degrees,2017,"0,99"
717950,38.9_Degrees,2017,"0,99"
719610,38.9_Degrees,2017,"0,99"
725400,38.9_Degrees,2017,"0,99"
239030,3909,2013,"9,99"
398260,3Crew,2016,"3,99"
420360,3D Avenue,2016,"4,99"
358390,3D Realms,1996,"0,00"
358300,3D Realms (Apogee Software),1993,"2,99"
358210,3D Realms (Apogee Software),1993,"4,99"
358230,3D Realms (Apogee Software),1991,"4,99"
358250,3D Realms (Apogee Software),1992,"4,99"
358260,3D Realms (Apogee Software),1991,"4,99"
358320,3D Realms (Apogee Software),1995,"4,99"
358350,3D Realms (Apogee Software),1992,"4,99"
358410,3D Realms (Apogee Software),1994,"6,99"
358400,3D Realms (Apogee Software),1997,"9,99"
585730,3D2 Entertainment,2017,"0,99"
449510,3D2 Entertainment,2017,"9,99"
673190,3DClouds.it,2017,"14,99"
455030,3DDUO,2016,"1,99"
428830,3DDUO,2016,"2,99"
431300,3DDUO,2016,"3,99"
677230,3DDUO,2017,"3,99"
417480,3DDUO,2016,"4,99"
486120,3DDUO,2016,"4,99"
556990,3DDUO,2017,"4,99"
648340,3DDUO,2017,"4,99"
438450,3Dflow SRL,2016,"149,99"
549970,3Division,2016,"2,99"
549971,3Division,2016,"2,99"
562820,3Division,2016,"2,99"
423490,3Division,2016,"16,99"
270570,3f Interactive,2012,"0,99"
281060,3f Interactive,2013,"4,99"
492200,3GoGames,2017,"7,99"
623930,3y3.net,2017,"9,99"
413480,4 Door Lemon,2016,"9,99"
622150,4 Friends Games,2017,"9,99"
748580,4 Friends Games,2017,"12,99"
39650,4 Head Studios,2006,"9,99"
39660,4 Head Studios,2007,"9,99"
353130,4 I Lab,2016,"0,00"
705950,4 I Lab,2017,"2,99"
492250,4 I Lab,2016,"24,99"
492260,4 I Lab,2016,"24,99"
648260,40Ggames,2017,"3,99"
286660,48h Studio,2014,"4,99"
374090,49 Games,2007,"6,99"
27200,49 Games,2008,"19,99"
286690,4A Games,2014,"19,99"
287390,4A Games,2014,"19,99"
348280,4Bit Games,2015,"6,99"
639620,4D Door Games,2017,"7,99"
588040,4D Door Games,2017,"14,99"
401510,4EdgesGames.Visumeca,2016,"4,99"
592130,4FreaksFiction,2017,"1,99"
398620,4Friends Games,2015,"19,99"
299340,4gency,2016,"14,99"
18480,4Head Studios,2008,"9,99"
39520,4Head Studios,2002,"9,99"
407700,4NetGames,2015,"6,99"
340960,4-Panel Footprint,2015,"14,99"
319430,4Realms,2015,"7,99"
60700,4sdk,2010,"9,99"
656710,4SKY Game Studio,2017,"9,99"
691520,4th cluster,2017,"0,00"
711510,4th cluster,2017,"0,00"
435360,4th cluster,2016,"11,99"
284460,5 Bits Games,2014,"9,99"
268870,5 Lives Studios,2015,"29,99"
258541,505 Games,2013,"0,99"
258542,505 Games,2013,"0,99"
258543,505 Games,2013,"1,99"
528960,51Pegasi Studios,2016,"1,99"
705200,51Pegasi Studios.Connor Lourenco,2017,"0,99"
236010,55 Revolver,2016,"11,99"
574230,5d Games GmbH,2017,"4,99"
218680,5th Cell Media,2012,"19,99"
249870,5th Cell Media,2013,"19,99"
599060,5th Planet Games,2017,"0,00"
432020,5Wolf,2016,"0,99"
470600,5Wolf,2016,"6,99"
583660,651 GAMES,2017,"4,99"
682020,68k Studios,2017,"3,99"
510180,6L6 Interactive,2016,"7,99"
529610,7 Generation Games,2016,"9,99"
485090,7 Raven Studios,2016,"1,99"
680450,7 Raven Studios,2017,"2,99"
467220,7 Raven Studios,2016,"4,99"
496990,7 Raven Studios,2016,"4,99"
451230,7 Road,2016,"0,00"
356170,7 Soft Pillows,2015,"3,99"
663730,71Games,2017,"3,99"
